"","gen","predicted.value","std.error","status","weight","Environment"
"227","geno_20",1922.7795255765,246.955190453253,"Estimable",2.18636714764714e-05,"loc_10"
"228","geno_21",1615.5959638201,248.5472143491,"Estimable",2.13324918094155e-05,"loc_10"
"229","geno_22",1924.75209543317,248.58392650831,"Estimable",2.13324918094155e-05,"loc_10"
"230","geno_23",2643.70997742723,248.560227054827,"Estimable",2.13324918094155e-05,"loc_10"
"231","geno_01",1332.9281487792,107.756928222302,"Estimable",9.22843346178415e-05,"loc_11"
"232","geno_02",1491.07337132689,105.927837730306,"Estimable",9.63174213420101e-05,"loc_11"
"233","geno_03",1310.67474584449,104.580681245732,"Estimable",9.63174213422245e-05,"loc_11"
"234","geno_04",1526.46001390551,104.3144687016,"Estimable",9.7351984730649e-05,"loc_11"
"235","geno_05",1302.98542750675,104.561497550104,"Estimable",9.73519811998428e-05,"loc_11"
"236","geno_06",1709.82598139982,105.195211561693,"Estimable",9.73519121024393e-05,"loc_11"
"237","geno_07",1494.42667435437,104.650418929437,"Estimable",9.63173962666774e-05,"loc_11"
"238","geno_08",1584.52430311755,104.553827701339,"Estimable",9.63174213426714e-05,"loc_11"
"239","geno_09",1418.75011738068,104.780564751587,"Estimable",9.63174213419208e-05,"loc_11"
"240","geno_10",1630.46965412049,105.328805069795,"Estimable",9.73519623901575e-05,"loc_11"
"241","geno_11",1680.34019565996,109.048109908645,"Estimable",9.05626866668063e-05,"loc_11"
"242","geno_12",1352.13397147877,108.479124313846,"Estimable",9.07756631089885e-05,"loc_11"
"243","geno_13",1355.18496421015,108.843716534742,"Estimable",8.75228320045094e-05,"loc_11"
"244","geno_14",1494.46187132873,104.790130520826,"Estimable",9.73518660797172e-05,"loc_11"
"245","geno_15",1399.8950402964,104.789162065078,"Estimable",9.591537221961e-05,"loc_11"
"246","geno_16",1418.31545749661,102.444029676533,"Estimable",0.000103440842842934,"loc_11"
"247","geno_17",1312.79816818877,104.498107923763,"Estimable",9.90066395516766e-05,"loc_11"
"248","geno_18",1308.86823493984,103.189789300029,"Estimable",0.00010344084284221,"loc_11"
"249","geno_19",1392.99881839544,106.454071509,"Estimable",9.47595075145872e-05,"loc_11"
"250","geno_20",1486.64701353129,104.998944087523,"Estimable",9.7351912952418e-05,"loc_11"
"251","geno_21",1384.4162381181,100.781342336561,"Estimable",0.000109945326436167,"loc_11"
"252","geno_22",1665.34553860411,103.452330034958,"Estimable",0.000103440830979869,"loc_11"
"253","geno_23",1447.82248404608,109.41999502391,"Estimable",9.04010204821658e-05,"loc_11"
"254","geno_01",1970.92428613663,209.384526186321,"Estimable",3.81148318602926e-05,"loc_12"
"255","geno_02",1871.19134301243,201.804403935466,"Estimable",4.46621478603819e-05,"loc_12"
"256","geno_03",2471.35177912559,198.773653892719,"Estimable",4.46654912334403e-05,"loc_12"
"257","geno_04",2293.50502958469,199.850871241596,"Estimable",4.24317511597316e-05,"loc_12"
"258","geno_05",2079.97752200077,199.701743758595,"Estimable",4.25728212795493e-05,"loc_12"
"259","geno_06",1772.30191125653,195.561529930028,"Estimable",4.70369878863877e-05,"loc_12"
"260","geno_07",1738.7060764181,197.151742517151,"Estimable",4.68727115842566e-05,"loc_12"
"261","geno_08",2565.25053487727,198.133249821568,"Estimable",4.46100543392072e-05,"loc_12"
"262","geno_09",1744.90144683944,198.522939342865,"Estimable",4.4602614508122e-05,"loc_12"
"263","geno_10",2018.37675587705,197.325546929659,"Estimable",4.47466246714374e-05,"loc_12"
"264","geno_11",1756.65528112598,194.881657978239,"Estimable",4.64486952590622e-05,"loc_12"
"265","geno_12",2110.57337869011,199.168911866775,"Estimable",4.07540957534976e-05,"loc_12"
"266","geno_13",2108.44270095673,208.519757769726,"Estimable",3.13748120595996e-05,"loc_12"
"267","geno_14",2009.12084541764,193.292391246043,"Estimable",4.70106507859641e-05,"loc_12"
"268","geno_15",2150.73189910588,197.443455461207,"Estimable",4.09797163346256e-05,"loc_12"
"269","geno_16",1883.45712313692,195.885865484999,"Estimable",4.50758680210202e-05,"loc_12"
"270","geno_17",2320.83573814389,201.005286730796,"Estimable",3.83323178772699e-05,"loc_12"
"271","geno_18",2109.33384570302,195.338136186397,"Estimable",4.50643014819009e-05,"loc_12"
"272","geno_19",1891.12348860529,198.053628176262,"Estimable",4.32420992968848e-05,"loc_12"
"273","geno_20",1963.86259831283,198.732775963365,"Estimable",4.25452823445816e-05,"loc_12"
"274","geno_21",1995.17028744657,196.577236223283,"Estimable",4.31917056217133e-05,"loc_12"
"275","geno_22",1902.97121232669,192.435629448966,"Estimable",4.73090435167866e-05,"loc_12"
"276","geno_23",1757.95491724254,203.487799667933,"Estimable",3.52554097101374e-05,"loc_12"
"277","geno_01",5791.48364903812,328.229764735593,"Estimable",1.25091309041736e-05,"loc_13"
"278","geno_02",4912.60758087169,320.340682338856,"Estimable",1.34738324758412e-05,"loc_13"
"279","geno_03",6658.19477678586,313.841031301963,"Estimable",1.34289880162014e-05,"loc_13"
"280","geno_04",5583.30137468587,319.088585456816,"Estimable",1.29466221746336e-05,"loc_13"
"281","geno_05",6253.47762400291,319.340254203488,"Estimable",1.29377842747659e-05,"loc_13"
"282","geno_06",5791.29266585838,311.924221458743,"Estimable",1.39036774885348e-05,"loc_13"
"283","geno_07",6351.39901130829,308.973250334357,"Estimable",1.39500845523089e-05,"loc_13"
"284","geno_08",5820.06205051937,314.96243579238,"Estimable",1.34566719342831e-05,"loc_13"
"285","geno_09",5779.85370132661,316.771831251893,"Estimable",1.34463310882592e-05,"loc_13"
"286","geno_10",6019.13678840702,315.58834072116,"Estimable",1.33961389340684e-05,"loc_13"
"287","geno_11",5313.19048337078,325.304552480929,"Estimable",1.23103345012711e-05,"loc_13"
"288","geno_12",6424.22655691262,331.731351341141,"Estimable",1.20913411191046e-05,"loc_13"
"289","geno_13",5678.2017500095,347.570938954794,"Estimable",1.09572493359656e-05,"loc_13"
"290","geno_14",5819.94319242278,320.239251240207,"Estimable",1.37795156506267e-05,"loc_13"
"291","geno_15",6265.67469680124,324.879283337683,"Estimable",1.27785278997018e-05,"loc_13"
"292","geno_16",5767.82124315069,315.131042593099,"Estimable",1.35070244569118e-05,"loc_13"
"293","geno_17",5720.75158710733,326.625073950557,"Estimable",1.24075746479629e-05,"loc_13"
"294","geno_18",6497.03706416568,308.400154240989,"Estimable",1.35230803557452e-05,"loc_13"
"295","geno_19",6125.0367676744,316.931723535368,"Estimable",1.3151926876332e-05,"loc_13"
"296","geno_20",5919.07253571502,319.377590119709,"Estimable",1.29699721186406e-05,"loc_13"
"297","geno_21",5798.3382550385,315.014756637044,"Estimable",1.3116247434502e-05,"loc_13"
"298","geno_22",5279.80360744869,312.921518346075,"Estimable",1.39115610621587e-05,"loc_13"
"299","geno_23",6296.20808129851,332.620169705474,"Estimable",1.17869904812295e-05,"loc_13"
"300","geno_01",3630.39471613064,348.837279326876,"Estimable",9.88230477182628e-06,"loc_14"
"301","geno_02",3769.05924142065,349.457208908463,"Estimable",9.99097612971214e-06,"loc_14"
"302","geno_03",3432.0571447214,346.46611822721,"Estimable",9.99097612971214e-06,"loc_14"
"303","geno_04",3245.3875323782,352.310792677149,"Estimable",9.88900427855359e-06,"loc_14"
"304","geno_05",3276.57348277997,350.131110945843,"Estimable",9.88900427855359e-06,"loc_14"
"305","geno_06",3213.8170259943,351.405579293488,"Estimable",9.88900427855359e-06,"loc_14"
"306","geno_07",3592.70896079684,346.154265030579,"Estimable",9.99097612971214e-06,"loc_14"
"307","geno_08",3655.96071303371,349.431823328566,"Estimable",9.99097612971214e-06,"loc_14"
"308","geno_09",3573.66449448235,348.186291441868,"Estimable",9.96018302869605e-06,"loc_14"
"309","geno_10",3498.77037827283,349.980229241527,"Estimable",9.84726126874648e-06,"loc_14"
